,Shopname,Average Price,Address,Tel,Tags,Taste,Environment,Service,Remark
0,巴黎人自助餐,228,地址:澳门路氹金光大道连贯公路澳门巴黎人地面大堂,              +853-81119250,自助餐,8.5,9,8.9,1044
1,巴黎轩,496,地址:路氹金光大道连贯公路澳门巴黎人巴黎铁塔6楼,              +853-81119210,中餐,9.1,9.3,9.1,382
2,帝濠轩,260,地址:上海街51号,              00853-28328828,粤菜,9,8.5,8.5,891
3,奥旋自助餐,183,地址:路氹城望德圣母湾大马路金沙城中心康莱德酒店1楼,              +853-81138910,自助餐,8.7,9,9,1640
4,后宫烧(澳门店),205,地址:澳门长寿大马路515号新宝花园地下,              00853-28425950,自助餐,9,8.2,9,259
5,威丰味(威尼斯人酒店店),124,地址:金光大道望德圣母湾大马路澳门威尼斯人度假村酒店大运河购物中心1036铺,              00853-28823326,自助餐,8,8.6,8.7,682
6,沨竹自助餐,174,地址:新城大馬路威尼斯人度假村酒店娱乐场楼层1033号铺,              ,自助餐,8.2,8.8,8.6,3859
7,永利轩(永利酒店),385,地址:外港填海区仙德麗街永利澳门酒店地面层,              +853-89863688,粤菜,9,9.2,9.1,430
8,澳门旅游塔360°旋转餐厅,172,地址:南湾湖广场旅游塔60楼观光主层,              +853-89888622,自助餐,7.6,9,8.5,1071
9,添好運點心專門店(百老匯店),82,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 A-1006,              +853-28844658,小吃快餐,8.7,8.3,8.3,1274
10,群芳(澳门银河店),212,地址:澳门路氹城澳門銀河综合渡假城，地下，G007,              +853-88832221,自助餐,8.3,9,8.9,787
11,皇雀印度餐厅,230,地址:氹仔望德圣母湾大马路澳门威尼斯人酒店地面大堂1037号,              +853-81189696,印度菜,8.3,9.1,9.1,865
12,皇冠小馆(银座店),150,地址:澳门伯多禄局长街3至13号银座广场1楼J室,              +853-8371367,中餐,9,8.6,8.8,2944
13,渔兵卫海鲜丼(塔石),155,地址:澳门东望洋街25号B万丰花园地下D,              +853-28565402,日本料理,8.9,8.5,8.4,172
14,盛事(澳门美高梅店),301,地址:宋玉生广场(皇朝)外港新填海区孙逸仙大马路澳门美高梅1楼,              +853-88022372,自助餐,8.5,9.1,9,184
15,海风餐厅 Mistral,147,地址:新马路巴素打尔古街澳门十六浦索菲特酒店6楼,              +853-88617210,自助餐,8.5,9,9,424
16,麗軒(丽思卡尔顿酒店店),914,地址:澳门路氹城澳門銀河综合渡假城，澳門麗思卡爾頓酒店51樓,              +853-88866712,中餐,9.1,9.3,9.3,136
17,星汇餐厅,320,地址:新濠影汇酒店明星汇2楼,              +853-88656668,自助餐,8.8,9.1,9,523
18,盛宴,316,地址:澳门路凼连贯公路澳门喜来登金沙城中心酒店1楼,              +853-81131200,自助餐,8.1,8.9,8.6,794
19,进补堂养生馆燕鲍翅炖汤,334,地址:新口岸飞南第街中土大厦地下L铺(凯旋门住宅对面 进福珠宝旁边),              +853-28757361,粤菜,9,8.8,9,176
20,名廚都匯(万豪酒店店),370,地址:澳门路氹城澳門銀河综合渡假城，澳门JW万豪酒店1楼,              +853-88866228,自助餐,8.6,9,9,291
21,礼记鱼翅海鲜酒家(新马路),198,地址:新马路营地大街135-137号,              +853-28573117,粤菜,8.8,7.8,8.4,495
22,小飞象葡国餐厅,153,地址:凼仔地堡街喜来登广场2楼,              +853-28827888,西餐,7.5,7.9,8,2962
23,Hard Rock Cafe(新濠天地店),236,"地址:City of Dreams, Hard Rock Hotel, 2/F, Coloane-Taipa",              +853-28824660,西餐,9,9.1,9,209
24,8½ Otto e Mezzo BOMBANA,964,地址:澳門銀河1楼，1031,              +853-88862169,西餐,8.8,9.1,9.2,114
25,帝皇楼粤菜,201,地址:商业大马路251A-301号友邦广场1楼G05-G07铺,              +853-28757218,粤菜,9,8.4,9,307
26,888美食天地自助餐,156,地址:宋玉生廣場蒙地卡羅前地203號,              +853-28883388,自助餐,7.9,8.3,8.1,513
27,壹燕糖,55,地址:福隆新街1号,              +853-66602916,面包甜点,9,8.7,9,634
28,九点海鲜火锅,326,地址:圣德伦街491号皇朝广场地下,              +853-28508885,海鲜,8.8,8.3,8.5,221
29,鸣诗(四季酒店),285,地址:路凼区望德圣母湾大马路四季酒店1楼,              +853-28818811,西餐,8.9,9.1,9.2,96
30,好彩海鮮火鍋飯店(百老匯店),1190,"地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G023-G024, E-1011, E-1002-1003",              +853-88831818,海鲜,9,8.9,8.9,141
31,旺角海鲜菜館,241,地址:新口岸高美士街79-E号凤凰台大厦地下,              +853-28703812,海鲜,8.4,8.5,8.4,33
32,唐吉柯德,187,地址:氹仔地堡街23-31號泉福新邨第二期第5座偉興閣地下AA鋪,              +853-28825028,西班牙菜,9,9.1,9.1,105
33,巴黎餐厅,207,地址:友谊大马路澳门渔人码头励宫酒店地面层,              +853-88018001,自助餐,8.5,9,8.6,36
34,杏香園(百老匯店),41,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 E-G030,              +853-28845202,面包甜点,8.6,8.5,8.7,137
35,皇冠小馆,164,地址:水坑尾街308-310号A地下,              +853-28372248,粤菜,8.5,7.6,8.1,2341
36,Janice Wong MGM(美狮美高梅店),134,地址:路氹城體育館大馬路美獅美高梅地舖,              +853-88062338,面包甜点,7.5,8.1,7.8,120
37,公鸡葡国餐厅(新马路东方斜巷店),168,地址:新马路东方斜巷百宝大厦地下A铺,              +853-28827423,西餐,8,8.6,8.1,635
38,麗思酒廊,259,地址:澳門麗思卡爾頓酒店51樓,              +853-88866712,酒吧,8.7,9.1,9,54
39,金沙城美食中心,86,地址:连贯公路金沙城中心,              +853-81183643,美食广场,7.3,7.5,7.1,255
40,碧迎居,180,地址:新濠影汇娱乐场一楼1182店,              +853-88656650,粤菜,8.5,8.7,7.6,304
