Shopname,Average Price,Address,Tel,Tags
巴黎人自助餐,¥228,地址:澳门路氹金光大道连贯公路澳门巴黎人地面大堂,              +853-81119250,自助餐
帝濠轩,¥260,地址:上海街51号,              00853-28328828,粤菜
8,¥705,地址:南湾葡京路新葡京酒店2楼,              +853-88037788,粤菜
后宫烧(澳门店),¥204,地址:澳门长寿大马路515号新宝花园地下,              00853-28425950,自助餐
奥旋自助餐,¥183,地址:路氹城望德圣母湾大马路金沙城中心康莱德酒店1楼,              +853-81138910,自助餐
沨竹自助餐,¥174,地址:新城大馬路威尼斯人度假村酒店娱乐场楼层1033号铺,              ,自助餐
威丰味(威尼斯人酒店店),¥124,地址:金光大道望德圣母湾大马路澳门威尼斯人度假村酒店大运河购物中心1036铺,              00853-28823326,自助餐
永利轩(永利酒店),¥385,地址:外港填海区仙德麗街永利澳门酒店地面层,              +853-89863688,粤菜
澳门旅游塔360°旋转餐厅,¥172,地址:南湾湖广场旅游塔60楼观光主层,              +853-89888622,自助餐
添好運點心專門店(百老匯店),¥82,地址:澳門百老匯澳門路氹城蓮花海濱大馬路 百老匯美食街 A-1006,              +853-28844658,小吃快餐
群芳(澳门银河店),¥212,地址:澳门路氹城澳門銀河综合渡假城，地下，G007,              +853-88832221,自助餐
礼记鱼翅海鲜酒家(新马路),¥198,地址:新马路营地大街135-137号,              +853-28573117,粤菜
皇雀印度餐厅,¥230,地址:氹仔望德圣母湾大马路澳门威尼斯人酒店地面大堂1037号,              +853-81189696,印度菜
皇冠小馆(银座店),¥150,地址:澳门伯多禄局长街3至13号银座广场1楼J室,              +853-8371367,中餐
渔兵卫海鲜丼(塔石),¥155,地址:澳门东望洋街25号B万丰花园地下D,              +853-28565402,日本料理
麗軒(丽思卡尔顿酒店店),¥904,地址:澳门路氹城澳門銀河综合渡假城，澳門麗思卡爾頓酒店51樓,              +853-88866712,中餐
Hard Rock Cafe(新濠天地店),¥236,"地址:City of Dreams, Hard Rock Hotel, 2/F, Coloane-Taipa",              +853-28824660,西餐
海风餐厅 Mistral,¥146,地址:新马路巴素打尔古街澳门十六浦索菲特酒店6楼,              +853-88617210,自助餐
谭家鱼翅(新马路福隆新街店),¥215,地址:新马路福隆新街48号地铺,              +853-28356674,海鲜
星汇餐厅,¥320,地址:新濠影汇酒店明星汇2楼,              +853-88656668,自助餐
名廚都匯(万豪酒店店),¥370,地址:澳门路氹城澳門銀河综合渡假城，澳门JW万豪酒店1楼,              +853-88866228,自助餐
进补堂养生馆燕鲍翅炖汤,¥329,地址:新口岸飞南第街中土大厦地下L铺(凯旋门住宅对面 进福珠宝旁边),              +853-28757361,粤菜
盛宴,¥323,地址:澳门路凼连贯公路澳门喜来登金沙城中心酒店1楼,              +853-81131200,自助餐
盛事,¥299,地址:宋玉生广场(皇朝)外港新填海区孙逸仙大马路澳门美高梅1楼,              +853-88022372,自助餐
谭家鱼翅(告利雅施利华街店),¥277,地址:氹仔旧城区告利雅施利华街30号地下,              +853-28827840,海鲜
旺角海鲜菜館,¥241,地址:新口岸高美士街79-E号凤凰台大厦地下,              +853-28703812,海鲜
